CVE_ESTADO,NOM_ESTADO,CLAVE_MUN,NOM_MUN,AMBITO,POB_TOTAL,PCT_POBREZA,PCT_Carencia_Servicios_Basicos_Vivienda,PCT_Carencia_Calidad_Espacio_Vivienda,PCT_Carencia_Servicios_Salud
8,Chihuahua,8032,Hidalgo del Parral,Ámbito de residencia: rural,2617,,21.971988,,
8,Chihuahua,8033,Huejotitán,Ámbito de residencia: rural,857,37.227216,,,
8,Chihuahua,8034,Ignacio Zaragoza,Ámbito de residencia: rural,2043,17.115044,,,
8,Chihuahua,8035,Janos,Ámbito de residencia: rural,8431,29.802339,,,19.726108
8,Chihuahua,8036,Jiménez,Ámbito de residencia: rural,4928,25.169208,,,25.187539
8,Chihuahua,8037,Juárez,Ámbito de residencia: rural,8688,,,,26.27538
8,Chihuahua,8038,Julimes,Ámbito de residencia: rural,5180,21.639621,,4.695222,
8,Chihuahua,8039,López,Ámbito de residencia: rural,4288,,,7.259297,3.718798
8,Chihuahua,8040,Madera,Ámbito de residencia: rural,7793,31.308563,,,21.075324
8,Chihuahua,8041,Maguarichi,Ámbito de residencia: rural,1354,75.858861,54.210104,40.256616,
8,Chihuahua,8042,Manuel Benavides,Ámbito de residencia: rural,1225,,,,6.272727
8,Chihuahua,8043,Matachí,Ámbito de residencia: rural,2852,29.090465,9.196697,4.504505,12.237237
8,Chihuahua,8044,Matamoros,Ámbito de residencia: rural,2098,,,,
8,Chihuahua,8045,Meoqui,Ámbito de residencia: rural,8095,,,,30.28439
8,Chihuahua,8046,Morelos,Ámbito de residencia: rural,7558,77.262509,62.222222,44.530466,30.336918
8,Chihuahua,8047,Moris,Ámbito de residencia: rural,4626,61.498965,18.716946,15.497816,36.698092
8,Chihuahua,8048,Namiquipa,Ámbito de residencia: rural,15990,,,5.370979,18.055523
8,Chihuahua,8049,Nonoava,Ámbito de residencia: rural,2868,42.912112,25.406204,16.469719,9.711965
